#Request,filetype
6578,php
3984,Unknown
2976,xml
1500,jpg
781,png
502,js
492,css
414,gif
389,bz2
366,pdf
287,html
178,txt
130,ico
113,aspx
109,JPG
90,gz
81,asp
64,deb
58,htm
56,lzma
35,xz
24,pl
24,cgi
20,lz4
20,doc
16,gpg
12,exe
11,woff
11,rpm
11,ppt
8,axd
7,swf
7,iso
4,ver
4,ttf
4,asc
3,zip
3,woff2
3,wma
3,rss
3,nup
3,nasl
3,jsp
3,jpeg
3,dsc
3,docx
2,xlsx
2,xls
2,sum
2,hint
2,hdr
1,vim
1,tgz
1,svg
1,PDF
1,orig
1,mht
1,md5
1,GIF
1,file
1,feed
1,eot
1,changes
1,cfg
1,bo
1,84
1,66
